,ND_1,ND_2,ND_3,HF_1,HF_2,HF_3,KO_1,KO_2,KO_3,ND_KO_pvalue,ND_KO_pvalue_corr,HF_KO_pvalue,HF_KO_pvalue_corr,HF_ND_pvalue,HF_ND_pvalue_corr,log10_ND_KO_pvalue,log10_HF_KO_pvalue,log10_HF_ND_pvalue,mean_ND,mean_HF,mean_KO,log2_fc_HF_ND,log2_fc_ND_KO,log2_fc_HF_KO
144,49402.25207262654,56212.629307413605,42748.63226228391,37070.496417888324,5114.0674064212335,71671.078648553,48473.95748925193,60117.370064479925,47592.17286820672,0.6659883643826634,1.0,0.5121920866325373,1.0,0.5889538308520216,1.0,0.1765333584100984,0.2905671356652676,0.22991874900253817,49402.25207262654,37070.496417888324,48473.95748925193,-0.4143053759517906,0.02736693945620147,-0.38693843649558923
145,17758.75187507778,18381.660536906584,17433.107482772604,16249.713901901578,9949.277930186081,17993.768058894737,17455.73200179946,18639.53409293868,18624.512697845104,0.4713038453352625,1.0,0.22915678041217089,1.0,0.2724229340614907,1.0,0.3266990168474663,0.6398672880939674,0.5647563339211771,17758.75187507778,16249.713901901578,18624.512697845104,-0.12811587163149002,-0.06867248918263259,-0.19678836081412268
146,540957.1697956582,554909.1181909885,518002.1742297846,477653.24595499,406664.6610299359,516156.62806505803,580992.0883647114,574754.6211442874,562586.9575502567,0.044468585398701306,1.0,0.031137383362543777,1.0,0.10331055734059458,1.0,1.3519466857817757,1.5067178862751398,0.985855295513441,540957.1697956582,477653.24595499,574754.6211442874,-0.17955070474001383,-0.08743178714613734,-0.2669824918861512
147,303589.9452463259,328664.58458590164,302951.01354161365,276204.98053191026,160981.79520460934,307053.92515036656,334276.04150400247,349069.36711157544,328173.3477212208,0.07248669494288103,1.0,0.11811361898445964,1.0,0.23223930643006904,1.0,1.1397417016105973,0.9277000235651883,0.6340642741710589,303589.9452463259,276204.98053191026,334276.04150400247,-0.1363846756485719,-0.13891594650887137,-0.27530062215744344
148,7809.159408780671,8900.290075582503,8039.836169098603,7114.269307134011,3937.7557978469144,7758.36519049368,8954.376450051108,7442.740768326816,7899.631187495923,0.8000346663777999,1.0,0.22116273075510398,1.0,0.18187256865026874,1.0,0.09689119414505955,0.6552880563506308,0.7402327994642709,8039.836169098603,7114.269307134011,7899.631187495923,-0.1764505154016233,0.02538080402371559,-0.15106971137790776
149,515318.2726719808,543913.4794246526,490132.608561985,478913.6919125098,496088.1505171924,514575.45336743986,536743.199985904,553540.920330786,531831.4050253226,0.2239234464271336,1.0,0.022425600576996788,1.0,0.34518690289362086,1.0,0.6499004302226374,1.649255917345942,0.46194569067680274,515318.2726719808,496088.1505171924,536743.199985904,-0.054867252267754255,-0.05876825873221465,-0.1136355109999688
150,113802.69558292332,115320.36500161904,114375.36655391516,123389.85116888747,95838.7589185572,117231.3524195353,118434.66733016924,119010.64422767657,118904.35164479031,0.0008478375818466269,1.0,0.47167170165622685,1.0,0.7929147662422751,1.0,3.0716873364976123,0.3263601788384814,0.10077349432188325,114375.36655391516,117231.3524195353,118904.35164479031,0.03558208954490046,-0.05602514860026194,-0.020443059055361618
151,20645.304495713946,23134.082685352914,26391.755845645348,26208.35240520864,7605.436070433898,24784.658356987726,20725.70609735103,18940.210076457774,26323.86190136604,0.6421762113183761,1.0,0.7189562248329405,1.0,0.5678303543327582,1.0,0.19234578641279582,0.14329755174821412,0.24578139524295453,23134.082685352914,24784.658356987726,20725.70609735103,0.09942747801134202,0.15859864090165698,0.25802611891299887
152,21441.206336109368,21764.77561051894,22918.67329000808,19777.847144056625,11566.0233975116,21373.401460965048,24204.156370624733,22847.809419583406,21214.103592260555,0.5041826724019453,1.0,0.17619338557425884,1.0,0.2193205007739571,1.0,0.2974120841048954,0.7540103993434917,0.658920771163908,21764.77561051894,19777.847144056625,22847.809419583406,-0.13810975180286675,-0.07006070420710579,-0.20817045600997244
153,31129.288197705126,29517.318673300757,32834.22646008316,34375.59603437691,19110.185107445774,31619.41350153077,28149.333588487418,28524.999827768057,32654.71264838171,0.46904345460977487,1.0,0.7886975182174306,1.0,0.5915368901417859,1.0,0.3287869201356477,0.10308952575971207,0.22801816619169316,31129.288197705126,31619.41350153077,28524.999827768057,0.022538019332008732,0.12604571071679505,0.1485837300488038
154,40599.18847370986,43098.168014755596,42356.23244925848,39987.36914259128,31537.757236187572,43448.640465130935,42040.77218500995,47239.40580593086,44107.68478993341,0.21999313826678824,1.0,0.18579842933734203,1.0,0.3646140785988944,1.0,0.6575908649020845,0.7309579616718093,0.4381665662357096,42356.23244925848,39987.36914259128,44107.68478993341,-0.08302990236958196,-0.05845576688623134,-0.14148566925581338
155,1080.1524976795017,1193.665129746247,1348.5014627157193,1311.533059160892,925.9941374564185,1114.7791674562145,1273.2195629050354,1261.7695324198544,1385.7116754508834,0.3179198249190821,1.0,0.18397785880246925,1.0,0.5436683460489848,1.0,0.49768238940354,0.7352344399171148,0.26466595214901145,1193.665129746247,1114.7791674562145,1273.2195629050354,-0.09864021307326967,-0.09308306876133655,-0.19172328183460619
156,2948.319520218976,3491.218263730829,2970.305953100021,2658.537075356413,2295.7395353471443,3117.566447348954,3430.1184258433104,3414.6333432690267,2764.1006003005923,0.8257067002329539,1.0,0.1885208684943638,1.0,0.2071848791576901,1.0,0.08317419128831571,0.7246405681621316,0.6836419436082958,2970.305953100021,2658.537075356413,3414.6333432690267,-0.15997895583733798,-0.20111913112895377,-0.36109808696629175
157,50741.04706026723,53052.92749337942,47529.714194672575,41672.797321186365,23449.151367673046,49399.97800442408,53578.377674586794,58932.49276974262,54331.0054344307,0.0892894312164463,1.0,0.09109582592082135,1.0,0.19351182072688386,1.0,1.0491999435304198,1.040501522270527,0.7132925008277133,50741.04706026723,41672.797321186365,54331.0054344307,-0.28404734485895533,-0.09862245511364025,-0.3826697999725955
158,133172.71334595734,118995.87346564708,113619.2511247229,145977.48890320287,114928.4541920779,134338.64253505573,114827.81304431928,129219.36635585454,124325.08910280283,0.9105474640612841,1.0,0.42073050749453617,1.0,0.41356892242603815,1.0,0.04069741083266497,0.37599599581241666,0.3834521036809855,118995.87346564708,134338.64253505573,124325.08910280283,0.17496281127777943,-0.06320592043194584,0.11175689084583376
159,107953.79016637523,120993.20859735979,108399.87466433508,96160.8721697579,51369.96506289761,111467.71561854004,117035.20786725945,109493.59570585478,112427.99689232273,0.9164484492372642,1.0,0.2161927401380824,1.0,0.23153283742154904,1.0,0.03789195933401469,0.6651588939669263,0.6353874059435171,108399.87466433508,96160.8721697579,112427.99689232273,-0.1728412022743221,-0.05263825254873278,-0.22547945482305484
160,184532.4537287456,161228.1864052633,228853.99621652122,125620.7289698075,30841.102882735297,163595.4750045325,156075.7986572994,157777.64257705555,115946.72120717296,0.11558757164052087,1.0,0.4306418454350089,1.0,0.12716657520605412,1.0,0.9370888601898212,0.3658837721006822,0.8956270247814784,184532.4537287456,125620.7289698075,156075.7986572994,-0.5548000190736917,0.2416277171793545,-0.31317230189433715
161,8804.702521625344,8746.062857680152,8956.697837486361,10221.54745214549,8735.206484806995,8232.411565966688,9045.990548911695,7839.7994485391855,9364.371509045199,0.8636602148202659,1.0,0.700252395672546,1.0,0.7243293776248196,1.0,0.06365708605466652,0.15474539671276624,0.14006390016223572,8804.702521625344,8735.206484806995,9045.990548911695,-0.011432455243453788,-0.039004227124658,-0.050436682368111954
162,177700.19468699853,186277.23988700056,180366.22984677195,181961.54783204314,147965.8721303049,182090.11840312433,191285.91019576672,188166.12043706843,193881.7097482476,0.033086578246682444,1.0,0.14942856027390974,1.0,0.4067225029696578,1.0,1.4803481444576692,0.8255663879025591,0.39070179847028835,180366.22984677195,181961.54783204314,191285.91019576672,0.012704365277635807,-0.08480136445053708,-0.07209699917290119
163,66404.0265216397,71473.71108956698,67337.87317733587,66812.5592597543,41741.69453087091,67179.52239460926,67635.73156825843,60771.013506912735,71982.6384095483,0.6794345355174063,1.0,0.4141973711960232,1.0,0.31502313292286543,1.0,0.1678523818059301,0.3827926617889788,0.5016575537282658,67337.87317733587,66812.5592597543,67635.73156825843,-0.011298832866524814,-0.0063674600948655105,-0.017666292961390245
