,ND_1,ND_2,ND_3,HF_1,HF_2,HF_3,KO_1,KO_2,KO_3,ND_KO_pvalue,ND_KO_pvalue_corr,HF_KO_pvalue,HF_KO_pvalue_corr,HF_ND_pvalue,HF_ND_pvalue_corr,log10_ND_KO_pvalue,log10_HF_KO_pvalue,log10_HF_ND_pvalue,mean_ND,mean_HF,mean_KO,log2_fc_HF_ND,log2_fc_ND_KO,log2_fc_HF_KO
5307,548975.6576252963,556618.2908244309,541314.6881852229,534363.0512829617,569423.3970582327,601610.3065942489,502037.4056420323,598789.5471149127,565620.7047460286,0.8317614336079429,1.0,0.7249817699945368,1.0,0.3830217823972224,1.0,0.08000122049375512,0.1396729138294444,0.4167765270603134,548975.6576252963,569423.3970582327,565620.7047460286,0.05275959378208719,-0.04309275201246545,0.009666841769621484
5308,23452.365087695896,28697.17884176488,31797.887897934437,29822.263191267073,32412.900958713926,28341.202501386517,28452.870990057723,27752.397083527914,28174.49214031294,0.9558085789473743,1.0,0.16223580829918752,1.0,0.4607218290944798,1.0,0.019629075747862924,0.7898532831064338,0.33656121029846914,28697.17884176488,29822.263191267073,28174.49214031294,0.05548083131114181,0.02651931029705649,0.08200014160819838
5309,515778.8475501254,445700.73811568663,515219.3644872553,533890.3440808624,494338.0722351228,528528.5041112105,603592.5220339933,453571.4208479347,552964.0272947326,0.4225267458536906,1.0,0.7173169913698634,1.0,0.3686057793660648,1.0,0.374145795095278,0.14428888173841856,0.43343785976503496,515219.3644872553,528528.5041112105,552964.0272947326,0.03679446172930325,-0.10199881187737007,-0.06520435014806682
5310,85794.03549679561,84152.19496043203,91126.97591546919,88521.37516960254,95593.5292929041,93524.26471605609,103498.0841020242,87652.37178848214,89831.35714226488,0.2854723211011994,1.0,0.8461815912489964,1.0,0.136826559315362,1.0,0.5444359938130648,0.07253642701458346,0.8638295938107199,85794.03549679561,93524.26471605609,89831.35714226488,0.12446336507225558,-0.06634177644969992,0.05812158862255543
5311,49215.423930269724,56534.20376600708,50841.527933926074,52155.361298293654,51297.61452841031,55734.10189363027,45839.42740588064,48308.94973823515,49313.9275247025,0.14824379526746354,1.0,0.037223746502500855,1.0,0.7561432523067902,1.0,0.8290234749451117,1.4291799180543057,0.12139591905864072,50841.527933926074,52155.361298293654,48308.94973823515,0.03680817374705991,0.07371689995539575,0.11052507370245537
5312,688850.2804002085,786199.481794255,749277.9439836696,658054.769165622,736090.9547933707,686071.7463870004,645150.11520193,740524.3601794569,668673.0429789154,0.23292091665329773,1.0,0.8255775897060201,1.0,0.2575589086673368,1.0,0.6327915094077112,0.08324210447547416,0.5891234237754317,749277.9439836696,686071.7463870004,668673.0429789154,-0.12714152937024847,0.16420002701459607,0.037058497644347634
5313,25553.166904758033,26923.287647923025,27426.896808592377,26656.97869093523,26122.212512758997,26053.91811598109,24529.230920615442,24995.775083670887,28403.64010770527,0.6498038522619245,1.0,0.8192849278708851,1.0,0.5789067676425745,1.0,0.1872177183355458,0.0865650346471522,0.23739137333413682,26923.287647923025,26122.212512758997,24995.775083670887,-0.04357749442712425,0.10717032697246982,0.0635928325453455
5314,119261.91677416812,118109.00349458969,118701.06711623164,131727.74031834892,127711.0036938373,128810.22591493724,135489.3007763267,121715.771671247,127990.91842245386,0.07198695612791592,1.0,0.8186851574156357,1.0,0.0009943742703361971,1.0,1.1427461896085869,0.08688308320384398,3.002450121691007,118701.06711623164,128810.22591493724,127990.91842245386,0.117914225085336,-0.10870854284464036,0.00920568224069568
5315,77308.94213621535,80712.51934926756,82151.04238499155,80405.64132336371,76329.36876825998,83136.08682464426,84129.67705653104,76843.09038817132,91931.16632009833,0.4072218395506123,1.0,0.4152219996421942,1.0,0.9691775151895601,1.0,0.39016893857410717,0.38171964439346967,0.013596670001280904,80712.51934926756,80405.64132336371,84129.67705653104,-0.005495742251047909,-0.05982233847388628,-0.06531808072493425
5316,96512.64261718253,92778.17566774144,90804.31800945397,90831.15232182128,91085.33809007269,102961.8681136326,88767.34892239435,98216.41993172508,97536.72524205555,0.6928543849444254,1.0,0.9822058818322107,1.0,0.7318229094593072,1.0,0.1593580301213973,0.007797469471749426,0.13559399920029022,92778.17566774144,91085.33809007269,97536.72524205555,-0.02656663457903585,-0.07216005704717646,-0.09872669162621235
5317,135450.89135009496,156491.60945355258,130340.14686795873,114960.53779682535,164634.80619077513,147049.44499617416,122339.80432738502,166858.7100131322,161335.16003272083,0.5907787818515733,1.0,0.7134478145299354,1.0,0.9344041410980268,1.0,0.22857511100777855,0.14663778805815508,0.02946524551845135,135450.89135009496,147049.44499617416,161335.16003272083,0.11853145172835844,-0.2522909942341488,-0.13375954250579034
5318,1148946.5851647623,1202523.3784644948,1368225.489072372,1509048.2269371226,1468821.0937000613,1314223.1831137838,1789910.3992461772,1211752.5755362797,1342978.414502147,0.3277748523168932,1.0,0.9290434075412957,1.0,0.09808859111650739,1.0,0.4844243696152978,0.03196399406314032,1.0083815033569186,1202523.3784644948,1468821.0937000613,1342978.414502147,0.2885937405664652,-0.15937117477174828,0.12922256579471691
5319,748250.6400215308,657458.4118437292,718913.0081154705,674256.57679836,704244.5139316858,618395.8394722489,695968.9128580999,757580.5834465461,709726.9358285505,0.7130222536280333,1.0,0.15137812732908681,1.0,0.3107673963047324,1.0,0.14689691548188238,0.8199368716425427,0.5075645508353617,718913.0081154705,674256.57679836,709726.9358285505,-0.09251951949136988,0.018553147187125744,-0.07396637230424431
5320,223624.329621771,231903.13651767216,193507.01185220617,177867.67075071178,227532.65619901614,212919.6010803424,187415.67250615294,237185.60242778526,224008.19989941726,0.9943825999436542,1.0,0.6550005958286027,1.0,0.6148895431267263,1.0,0.0024464837374602497,0.18375830494721446,0.21120289254809188,223624.329621771,212919.6010803424,224008.19989941726,-0.07076838900121843,-0.0024743862214605047,-0.07324277522267901
5321,186624.9929601614,200993.99902243094,190290.1807650454,190436.121065353,182938.60454134914,196417.99128891196,172958.29603406382,192352.95922749618,182065.55558746614,0.22334274279636288,1.0,0.3351475110840253,1.0,0.6658225293730835,1.0,0.6510281547421722,0.4747640014723656,0.1766415137499846,190290.1807650454,190436.121065353,182065.55558746614,0.0011060300106382943,0.06374310931387826,0.06484913932451664
